Dec 12 22:37:49 dev kernel: 8038928.137316  pid    uid  tgid total_vm      rss pgtables_bytes swapents oom_score_adj name
Dec 12 22:37:49 dev kernel: 8038928.137321   526     0   526    26476       52    94208       24             0 lvmetad
Dec 12 22:37:49 dev kernel: 8038928.137322   948     0   948    22056        0   155648      363             0 VGAuthService
Dec 12 22:37:49 dev kernel: 8038928.137324   952     0   952    48365      166   249856      220             0 vmtoolsd
Dec 12 22:37:49 dev kernel: 8038928.137325  1008     0  1008    17888      315   176128      128             0 systemd-logind
Dec 12 22:37:49 dev kernel: 8038928.137326  1013     0  1013    42707      125   229376     1852             0 networkd-dispat
Dec 12 22:37:49 dev kernel: 8038928.137327  1032     0  1032    72396      682   204800      197             0 accounts-daemon
Dec 12 22:37:49 dev kernel: 8038928.137328  1036     0  1036     7905       25   110592       48             0 cron
Dec 12 22:37:49 dev kernel: 8038928.137329  1037   102  1037    65759      449   159744       79             0 rsyslogd
Dec 12 22:37:49 dev kernel: 8038928.137330  1039     0  1039     7083       11    98304       43             0 atd
Dec 12 22:37:49 dev kernel: 8038928.137331  1044     0  1044    27638       37   114688       60             0 irqbalance
Dec 12 22:37:49 dev kernel: 8038928.137332  1049   103  1049    12751      251   147456      133          -900 dbus-daemon
Dec 12 22:37:49 dev kernel: 8038928.137333  1247     0  1247    72220      163   204800      106             0 polkitd
Dec 12 22:37:49 dev kernel: 8038928.137334  1250     0  1250    46883       13   258048     1962             0 unattended-upgr
Dec 12 22:37:49 dev kernel: 8038928.137335  1284     0  1284   148356    74987   991232     1008             0 dsmc
Dec 12 22:37:49 dev kernel: 8038928.137336  1492     0  1492     4120        0    77824       36             0 agetty
Dec 12 22:37:49 dev kernel: 8038928.137337  1954     0  1954    75495     2419   237568      500             0 fail2ban-server
Dec 12 22:37:49 dev kernel: 8038928.137338  1996     0  1996    18074       28   184320      159         -1000 sshd
Dec 12 22:37:49 dev kernel: 8038928.137339  2139  1001  2139    38919       22   241664     7377             0 Rserve
Dec 12 22:37:49 dev kernel: 8038928.137340  3249     0  3249    26996        1   258048      252             0 sshd
Dec 12 22:37:49 dev kernel: 8038928.137341  3260  1000  3260    19185      128   192512      183             0 systemd
Dec 12 22:37:49 dev kernel: 8038928.137342  3261  1000  3261    27962        1   249856      612             0 (sd-pam)
Dec 12 22:37:49 dev kernel: 8038928.137343  3445  1000  3445    27064       36   253952      292             0 sshd
Dec 12 22:37:49 dev kernel: 8038928.137344  3446  1000  3446     5937      438    90112      169             0 bash
Dec 12 22:37:49 dev kernel: 8038928.137346 30314  1005 30314    19187      126   188416      182             0 systemd
Dec 12 22:37:49 dev kernel: 8038928.137347 30315  1005 30315    64889        1   270336      702             0 (sd-pam)
Dec 12 22:37:49 dev kernel: 8038928.137348  1349  1005  1349     8036        1    94208      206             0 screen
Dec 12 22:37:49 dev kernel: 8038928.137349  1350  1005  1350     1157        0    57344       21             0 sh
Dec 12 22:37:49 dev kernel: 8038928.137350  1419  1005  1419     5757        0    86016      413             0 bash
Dec 12 22:37:49 dev kernel: 8038928.137351  1428  1005  1428     1157        0    53248       21             0 sh
Dec 12 22:37:49 dev kernel: 8038928.137352  1430  1005  1430     5757        0    90112      413             0 bash
Dec 12 22:37:49 dev kernel: 8038928.137353  1441     0  1441    16015        2   176128      154             0 sudo
Dec 12 22:37:49 dev kernel: 8038928.137354  1501     0  1501    15837        0   167936      116             0 su
Dec 12 22:37:49 dev kernel: 8038928.137354  1502     0  1502     5779        2    94208      447             0 bash
Dec 12 22:37:49 dev kernel: 8038928.137356  5813     0  5813     2705        1    65536      208             0 less
Dec 12 22:37:49 dev kernel: 8038928.137357  6177     0  6177     8036        1   102400      202             0 screen
Dec 12 22:37:49 dev kernel: 8038928.137358  6178     0  6178     5476        2    86016      125             0 bash
Dec 12 22:37:49 dev kernel: 8038928.137360  6261     0  6261     5476        1    86016      127             0 bash
Dec 12 22:37:49 dev kernel: 8038928.137362 17950  1005 17950     8102        1    98304      264             0 screen
Dec 12 22:37:49 dev kernel: 8038928.137363 17951  1005 17951     1157        0    53248       20             0 sh
Dec 12 22:37:49 dev kernel: 8038928.137364 17953  1005 17953     1157        0    57344       21             0 sh
Dec 12 22:37:49 dev kernel: 8038928.137366 17955  1005 17955     5757        0    81920      413             0 bash
Dec 12 22:37:49 dev kernel: 8038928.137367 17964  1005 17964     5757        0    90112      414             0 bash
Dec 12 22:37:49 dev kernel: 8038928.137369 17973     0 17973    16015        2   176128      154             0 sudo
Dec 12 22:37:49 dev kernel: 8038928.137371 18035     0 18035    15837        0   172032      116             0 su
Dec 12 22:37:49 dev kernel: 8038928.137373 18036     0 18036     5779        2    90112      451             0 bash
Dec 12 22:37:49 dev kernel: 8038928.137375 18082     0 18082    13939        0   139264      800             0 vi
Dec 12 22:37:49 dev kernel: 8038928.137376   764   114   764  3403924  1028644 10502144    84267             0 java
Dec 12 22:37:49 dev kernel: 8038928.137378 31812   999 31812    29654     4737   266240      642             0 python
Dec 12 22:37:49 dev kernel: 8038928.137380   834     0   834   350993     4250   339968      702             0 filebeat
Dec 12 22:37:49 dev kernel: 8038928.137382  4447   113  4447  1595601   962226  8962048    75751             0 mysqld
Dec 12 22:37:49 dev kernel: 8038928.137384 25587   112 25587    26944      100   126976       48             0 ntpd
Dec 12 22:37:49 dev kernel: 8038928.137386 30212   115 30212  1693265    60428  1605632    44853             0 java
Dec 12 22:37:49 dev kernel: 8038928.137388  1447   100  1447    17962      116   184320       61             0 systemd-network
Dec 12 22:37:49 dev kernel: 8038928.137390  1464   101  1464    17722      131   172032       78             0 systemd-resolve
Dec 12 22:37:49 dev kernel: 8038928.137391  1491     0  1491    46554      458   348160       35             0 systemd-journal
Dec 12 22:37:49 dev kernel: 8038928.137393  2101   116  2101    19189      125   188416      180             0 systemd
Dec 12 22:37:49 dev kernel: 8038928.137394  2102   116  2102    64887       46   262144      660             0 (sd-pam)
Dec 12 22:37:49 dev kernel: 8038928.137396  2116   116  2116     5172        8    81920       38             0 daemon
Dec 12 22:37:49 dev kernel: 8038928.137397  2117   116  2117  2245400   427916  4509696    20717             0 java
Dec 12 22:37:49 dev kernel: 8038928.137398  2234     0  2234    11261      147   114688       59         -1000 systemd-udevd
Dec 12 22:37:49 dev kernel: 8038928.137399 22503     0 22503   179199      405   512000      301             0 savd
Dec 12 22:37:49 dev kernel: 8038928.137400 22546     0 22546   133125      999   401408      521             0 mtdd
Dec 12 22:37:49 dev kernel: 8038928.137401 13869   111 13869    24328       18   221184      196             0 zabbix_agentd
Dec 12 22:37:49 dev kernel: 8038928.137402 13895   111 13895    24328      205   212992      186             0 zabbix_agentd
Dec 12 22:37:49 dev kernel: 8038928.137403 13896   111 13896    24328       84   217088      173             0 zabbix_agentd
Dec 12 22:37:49 dev kernel: 8038928.137404 13897   111 13897    24328       84   217088      172             0 zabbix_agentd
Dec 12 22:37:49 dev kernel: 8038928.137405 13899   111 13899    24328       83   217088      174             0 zabbix_agentd
Dec 12 22:37:49 dev kernel: 8038928.137406 20172     0 20172    24401      425   233472      145             0 apache2
Dec 12 22:37:49 dev kernel: 8038928.137408  1785    33  1785   525094     2169   491520      127             0 apache2
Dec 12 22:37:49 dev kernel: 8038928.137409  1786    33  1786   508680     2020   487424      127             0 apache2
Dec 12 22:37:49 dev kernel: 8038928.137410 20366   116 20366  1356515    21761   663552        0             0 java
Dec 12 22:37:49 dev kernel: 8038928.137411 29466     0 29466   256594    68134  1044480        0             0 savscand
Dec 12 22:37:49 dev kernel: 8038928.137412 29486     0 29486   219663    72582  1048576        0             0 savscand
Dec 12 22:37:49 dev kernel: 8038928.137413  8081  1000  8081   210594   200357  1736704        0             0 mysql
